x1,y1,x2,y2
146.0,235.0,164.0,244.0
161.0,225.0,181.0,233.0
112.0,152.0,132.0,161.0
89.0,232.0,108.0,239.0
152.0,217.0,172.0,223.0
126.0,191.0,145.0,199.0
198.0,192.0,218.0,201.0
152.0,143.0,172.0,151.0
106.0,36.0,129.0,44.0
123.0,34.0,146.0,42.0
120.0,217.0,140.0,224.0
208.0,163.0,227.0,174.0
53.0,236.0,73.0,244.0
138.0,39.0,162.0,48.0
61.0,11.0,86.0,20.0
154.0,56.0,177.0,66.0
129.0,162.0,149.0,170.0
112.0,236.0,132.0,243.0
75.0,218.0,99.0,223.0
119.0,168.0,139.0,177.0
218.0,74.0,242.0,83.0
186.0,36.0,210.0,44.0
203.0,59.0,228.0,68.0
109.0,142.0,129.0,149.0
40.0,45.0,63.0,57.0
202.0,173.0,224.0,182.0
29.0,22.0,54.0,30.0
119.0,146.0,139.0,155.0
144.0,221.0,163.0,227.0
129.0,101.0,150.0,109.0
39.0,59.0,63.0,68.0
43.0,14.0,67.0,23.0
117.0,92.0,138.0,101.0
106.0,165.0,122.0,175.0
131.0,150.0,152.0,158.0
172.0,19.0,199.0,27.0
136.0,88.0,158.0,97.0
208.0,17.0,233.0,24.0
20.0,198.0,41.0,209.0
132.0,182.0,153.0,189.0
212.0,191.0,233.0,199.0
26.0,175.0,47.0,183.0
32.0,9.0,59.0,17.0
183.0,21.0,209.0,29.0
173.0,54.0,195.0,62.0
22.0,35.0,47.0,42.0
174.0,120.0,195.0,129.0
132.0,203.0,152.0,211.0
216.0,171.0,241.0,177.0
145.0,112.0,168.0,121.0
157.0,34.0,183.0,44.0
216.0,37.0,240.0,47.0
17.0,51.0,43.0,58.0
85.0,43.0,110.0,53.0
115.0,131.0,136.0,140.0
195.0,39.0,221.0,48.0
55.0,29.0,81.0,36.0
129.0,91.0,151.0,100.0
149.0,47.0,173.0,55.0
95.0,175.0,114.0,184.0
131.0,132.0,154.0,138.0
209.0,113.0,231.0,121.0
121.0,116.0,141.0,125.0
112.0,66.0,135.0,74.0
89.0,26.0,112.0,33.0
154.0,192.0,173.0,200.0
143.0,162.0,169.0,169.0
64.0,103.0,86.0,112.0
174.0,28.0,200.0,36.0
63.0,112.0,84.0,120.0
138.0,18.0,163.0,26.0
60.0,179.0,79.0,187.0
30.0,217.0,57.0,235.0
139.0,196.0,159.0,204.0
136.0,226.0,154.0,233.0
159.0,99.0,182.0,109.0
64.0,98.0,86.0,107.0
117.0,206.0,138.0,213.0
195.0,120.0,216.0,127.0
154.0,171.0,172.0,179.0
226.0,188.0,246.0,195.0
113.0,8.0,146.0,18.0
139.0,111.0,159.0,119.0
150.0,65.0,169.0,75.0
164.0,110.0,185.0,119.0
100.0,205.0,120.0,213.0
