x1,y1,x2,y2
204.0,212.0,208.0,210.0
113.0,115.0,121.0,119.0
14.0,217.0,15.0,218.0
40.0,235.0,44.0,235.0
35.0,225.0,37.0,225.0
63.0,145.0,70.0,145.0
35.0,157.0,37.0,154.0
84.0,157.0,92.0,158.0
86.0,135.0,94.0,136.0
169.0,194.0,175.0,193.0
57.0,205.0,59.0,205.0
76.0,220.0,78.0,219.0
159.0,184.0,170.0,185.0
15.0,159.0,17.0,156.0
61.0,188.0,72.0,194.0
90.0,27.0,98.0,36.0
65.0,134.0,74.0,136.0
44.0,223.0,46.0,223.0
233.0,136.0,236.0,133.0
220.0,204.0,218.0,208.0
186.0,132.0,184.0,131.0
193.0,201.0,199.0,197.0
46.0,47.0,49.0,55.0
16.0,174.0,17.0,173.0
31.0,138.0,35.0,134.0
26.0,179.0,28.0,179.0
47.0,199.0,48.0,199.0
105.0,237.0,109.0,234.0
163.0,216.0,169.0,216.0
93.0,152.0,102.0,153.0
19.0,126.0,24.0,126.0
151.0,160.0,161.0,161.0
31.0,233.0,34.0,235.0
127.0,126.0,133.0,129.0
31.0,199.0,35.0,199.0
220.0,179.0,227.0,173.0
145.0,192.0,151.0,187.0
12.0,231.0,20.0,231.0
102.0,131.0,112.0,134.0
16.0,8.0,20.0,14.0
102.0,168.0,111.0,170.0
