x1,y1,x2,y2,x2_,y2_
187.0,223.0,195.0,205.0,195.2925682067871,205.82094764709473
183.0,69.0,191.0,51.0,191.27694416046143,51.21938705444336
76.0,58.0,84.0,40.0,83.85896635055542,40.1764030456543
114.0,134.0,122.0,117.0,122.00739765167236,116.47330474853516
191.0,185.0,199.0,167.0,199.3081932067871,167.6725196838379
49.0,89.0,57.0,71.0,56.75348377227783,71.29750442504883
158.0,41.0,166.0,23.0,166.17929077148438,23.109996795654297
239.0,164.0,247.0,146.0,247.49569034576416,146.5904884338379
78.0,98.0,87.0,81.0,85.86677885055542,80.33266258239746
196.0,78.0,205.0,60.0,204.32772827148438,60.254539489746094
123.0,75.0,131.0,57.0,131.04255390167236,57.24282264709473
69.0,50.0,77.0,32.0,76.83162307739258,32.1451530456543
91.0,37.0,99.0,19.0,98.91755533218384,19.09437370300293
172.0,236.0,181.0,218.0,180.2339792251587,218.8717269897461
178.0,184.0,186.0,166.0,186.25741291046143,166.6686134338379
156.0,53.0,164.0,36.0,164.17147827148438,35.1568717956543
111.0,124.0,119.0,107.0,118.99567937850952,106.4342212677002
113.0,153.0,121.0,135.0,121.00349140167236,135.54752159118652
202.0,189.0,210.0,172.0,210.3511619567871,171.6881446838379
206.0,226.0,215.0,208.0,214.3667860031128,208.83266639709473
196.0,197.0,204.0,179.0,204.32772827148438,179.71939277648926
116.0,173.0,124.0,156.0,124.01521015167236,155.6256446838379
138.0,164.0,147.0,147.0,146.10116863250732,146.5904884338379
127.0,85.0,134.0,67.0,135.05817794799805,67.28187942504883
120.0,187.0,128.0,169.0,128.03083515167236,169.6803321838379
174.0,63.0,182.0,45.0,182.2417917251587,45.1959342956543
37.0,55.0,47.0,37.0,44.70660972595215,37.1646842956543
141.0,37.0,150.0,20.0,149.112886428833,19.09437370300293
223.0,136.0,231.0,118.0,231.43319129943848,118.48111724853516
137.0,78.0,144.0,61.0,145.09726333618164,60.254539489746094
146.0,233.0,154.0,216.0,154.13241863250732,215.8600082397461
83.0,46.0,92.0,29.0,90.886305809021,28.129528045654297
103.0,167.0,112.0,151.0,110.96443367004395,149.6022071838379
62.0,42.0,70.0,24.0,69.80426454544067,24.113903045654297
143.0,171.0,152.0,155.0,151.120698928833,153.6178321838379
40.0,81.0,48.0,63.0,47.71832847595215,63.26625442504883
48.0,122.0,56.0,104.0,55.74957752227783,104.4264087677002
115.0,44.0,124.0,26.0,123.01130390167236,26.121715545654297
111.0,142.0,119.0,125.0,118.99567937850952,124.50455284118652
69.0,76.0,77.0,59.0,76.83162307739258,58.24672889709473
222.0,62.0,230.0,44.0,230.42928504943848,44.1920280456543
160.0,190.0,171.0,171.0,168.187105178833,172.6920509338379
127.0,171.0,134.0,153.0,135.05817794799805,153.6178321838379
197.0,48.0,205.0,30.0,205.33163452148438,30.137340545654297
60.0,72.0,67.0,55.0,67.79645204544067,54.23110389709473
117.0,55.0,125.0,37.0,125.01911640167236,37.1646842956543
107.0,28.0,115.0,11.0,114.98005437850952,10.059225082397461
105.0,159.0,113.0,141.0,112.97224187850952,141.57095909118652
87.0,90.0,94.0,72.0,94.901930809021,72.30141067504883
62.0,166.0,71.0,149.0,69.80426454544067,148.5983009338379
199.0,213.0,207.0,195.0,207.33944702148438,195.78189277648926
36.0,36.0,44.0,19.0,43.70270347595215,18.09046745300293
167.0,129.0,174.0,111.0,175.214448928833,111.45377540588379
223.0,168.0,230.0,153.0,231.43319129943848,150.6061134338379
124.0,227.0,132.0,209.0,132.04645919799805,209.83657264709473
57.0,32.0,66.0,15.0,64.78473329544067,14.074850082397461
39.0,43.0,47.0,24.0,46.71442222595215,25.117809295654297
36.0,162.0,44.0,144.0,43.70270347595215,144.58267784118652
64.0,98.0,71.0,81.0,71.81209182739258,80.33266258239746
121.0,106.0,128.0,90.0,129.03474140167236,88.3639087677002
87.0,163.0,96.0,145.0,94.901930809021,145.58658409118652
54.0,64.0,62.0,46.0,61.77301502227783,46.19985580444336
63.0,84.0,71.0,67.0,70.80817079544067,66.27797317504883
118.0,119.0,126.0,101.0,126.02302265167236,101.4146900177002
109.0,103.0,117.0,85.0,116.98786687850952,85.35219192504883
205.0,55.0,213.0,38.0,213.3628797531128,37.1646842956543
147.0,62.0,154.0,44.0,155.13632488250732,44.1920280456543
