x1,y1,x2,y2,x2_,y2_
142.0,296.0,98.0,337.0,97.6093421617557,336.40872638864016
132.0,258.0,88.0,298.0,87.58980337176814,298.33450030726885
229.0,182.0,184.0,222.0,184.77925196681514,222.18607860249972
322.0,178.0,278.0,219.0,277.9608880916644,218.17826613230204
133.0,218.0,89.0,258.0,88.59175268207088,258.2563908342788
215.0,206.0,171.0,246.0,170.75191593561664,246.23295342368579
360.0,356.0,316.0,396.0,316.03511417303577,396.52592867059207
155.0,329.0,111.0,369.0,110.63472888265147,369.4731754605243
260.0,249.0,216.0,290.0,215.83981764708054,289.31692605657076
234.0,450.0,190.0,490.0,189.7890289763023,490.7094988767574
253.0,210.0,209.0,251.0,208.8261267880012,250.24076589388346
139.0,440.0,95.0,480.0,94.60347900186076,480.68997531575656
147.0,245.0,103.0,285.0,102.61910394225612,285.3091135863731
188.0,419.0,144.0,459.0,143.69917795453563,459.6489484254787
189.0,199.0,145.0,240.0,144.70112726483836,239.21927779359316
241.0,358.0,197.0,398.0,196.80268937740817,398.52982729119753
222.0,215.0,178.0,255.0,177.76559156570926,255.25052767438387
167.0,247.0,123.0,287.0,122.6581662932445,287.3130274359653
192.0,369.0,148.0,410.0,147.7069904247333,409.5513001625011
388.0,126.0,344.0,166.0,344.08981669340625,166.07670401973223
233.0,439.0,189.0,479.0,188.78706443701282,479.6880260054538
180.0,376.0,136.0,416.0,135.68355301414027,416.5649757925937
248.0,349.0,204.0,390.0,203.8163650075008,389.51225304049944
171.0,265.0,127.0,305.0,126.66597876344218,305.3481759373615
147.0,263.0,103.0,303.0,102.61910394225612,303.344277316756
184.0,182.0,140.0,223.0,139.69136548433795,222.18607860249972
256.0,353.0,212.0,393.0,211.83198994789612,393.5200502817104
317.0,169.0,273.0,209.0,272.95114154015073,209.1606766526172
250.0,227.0,206.0,267.0,205.820278857093,267.2739650849769
252.0,241.0,208.0,282.0,207.82417747769847,281.3013011161754
193.0,352.0,148.0,392.0,148.70893973503604,392.51810097140765
226.0,325.0,181.0,365.0,181.77340403590694,365.4653782193134
182.0,321.0,138.0,361.0,137.68746686373248,361.45755052012896
432.0,418.0,388.0,459.0,388.17573863659396,458.64699911517596
163.0,322.0,119.0,362.0,118.65035382304683,362.4594998304317
208.0,267.0,164.0,307.0,163.73824030552402,307.35207455796694
174.0,323.0,130.0,363.0,129.67184192333713,363.46144914073443
262.0,341.0,217.0,381.0,217.843716267686,381.4966281001041
186.0,393.0,142.0,433.0,141.69527933393016,433.59817498368716
173.0,233.0,129.0,274.0,128.66987738404765,273.28567617578005
215.0,179.0,171.0,220.0,170.75191593561664,219.18021544260478
237.0,267.0,193.0,307.0,192.7948769072105,307.35207455796694
238.0,138.0,194.0,179.0,193.79684144649997,178.10014143032527
194.0,280.0,149.0,321.0,149.71090427432551,320.37747650784945
159.0,258.0,115.0,299.0,114.64254135284915,298.33450030726885
215.0,380.0,171.0,420.0,170.75191593561664,420.57280349177813
239.0,430.0,195.0,470.0,194.7987907568027,470.67045175475573
64.0,228.0,20.0,268.0,19.456991378407608,268.27591439527964
188.0,276.0,143.0,316.0,143.69917795453563,316.3696792666385
253.0,193.0,209.0,234.0,208.8261267880012,233.20755147380328
251.0,129.0,206.0,170.0,206.82222816739574,169.08255195064044
297.0,136.0,253.0,177.0,252.91206396017563,176.09622758073306
146.0,338.0,102.0,379.0,101.61715463195338,378.4907497112224
196.0,269.0,152.0,309.0,151.71480289493098,309.3560036365459
210.0,291.0,166.0,331.0,165.74215415511622,331.398949379153
245.0,247.0,201.0,288.0,200.81050184760585,287.3130274359653
72.0,176.0,28.0,217.0,27.472616318802963,216.17435228270983
214.0,232.0,170.0,273.0,169.7499666253139,272.2837268654773
244.0,236.0,200.0,277.0,199.80855253730311,276.291539335675
84.0,297.0,40.0,337.0,39.496053729395996,337.4106756989429
281.0,166.0,237.0,206.0,236.88081407938492,206.154828721709
249.0,437.0,204.0,478.0,204.81831431780353,477.68412738484835
284.0,174.0,240.0,215.0,239.8866924682666,214.17045366210436
190.0,236.0,146.0,276.0,145.70309180412784,276.291539335675
224.0,131.0,180.0,171.0,179.76949018631473,171.08646580023265
129.0,364.0,84.0,405.0,84.5839402118732,404.5415536109874
156.0,305.0,112.0,345.0,111.63667819295421,345.42630063933825
201.0,461.0,156.0,502.0,156.7245646754314,501.7310022060344
150.0,386.0,106.0,426.0,105.62496710215106,426.58449935359454
200.0,227.0,156.0,267.0,155.72261536512866,267.2739650849769
270.0,205.0,225.0,246.0,225.85934120808136,245.2309888843963
261.0,224.0,217.0,264.0,216.84176695738327,264.26810192508196
183.0,283.0,138.0,324.0,138.68941617403522,323.38332443875765
258.0,149.0,214.0,190.0,213.8358885685016,189.12161430162882
108.0,265.0,64.0,306.0,63.54292855058206,305.3481759373615
164.0,350.0,120.0,390.0,119.65230313334956,390.5142023508022
145.0,255.0,101.0,295.0,100.61519009266391,295.32865237636065
133.0,203.0,88.0,243.0,88.59175268207088,243.22709026379084
158.0,286.0,113.0,326.0,113.64059204254642,326.38920282763934
161.0,183.0,117.0,224.0,116.64643997345462,223.18802791280245
161.0,386.0,118.0,426.0,116.64643997345462,426.58449935359454
436.0,402.0,392.0,443.0,392.1835663357784,442.61574923438525
177.0,351.0,133.0,392.0,132.67768985424533,391.5161516611049
158.0,200.0,113.0,240.0,113.64059204254642,240.2212271038959
211.0,359.0,167.0,399.0,166.74410346541896,399.53177660150027
210.0,391.0,166.0,431.0,165.74215415511622,431.5942763630817
130.0,301.0,85.0,341.0,85.58590475116267,341.4185033981273
212.0,411.0,167.0,451.0,167.7460527757217,451.63332348508334
246.0,307.0,201.0,347.0,201.81246638689532,347.4301992599437
309.0,162.0,264.0,202.0,264.9355165997554,202.14701625151133
117.0,313.0,73.0,353.0,72.56051803026689,353.4419255797336
440.0,8.0,395.0,49.0,396.1913635769893,47.84622853440738
190.0,258.0,146.0,299.0,145.70309180412784,298.33450030726885
488.0,157.0,443.0,197.0,444.28511321936145,197.13723924202418
236.0,230.0,191.0,271.0,191.79292759690776,270.27982824487185
280.0,215.0,236.0,256.0,235.87886476908218,255.25052767438387
219.0,102.0,175.0,142.0,174.75972840581431,142.02982919854617
259.0,419.0,215.0,459.0,214.83783787880432,459.6489484254787
216.0,166.0,171.0,207.0,171.75386524591937,206.154828721709
241.0,221.0,197.0,262.0,196.80268937740817,261.262238765187
279.0,138.0,235.0,178.0,234.87691545877945,178.10014143032527
206.0,202.0,161.0,243.0,161.73434168491855,242.2251409534881
157.0,344.0,113.0,384.0,112.63862750325694,384.5024760310123
264.0,190.0,220.0,230.0,219.84761488829147,230.20170354289507
148.0,150.0,104.0,190.0,103.62105325255885,190.1235788409183
195.0,301.0,151.0,341.0,150.71285358462825,341.4185033981273
172.0,255.0,128.0,295.0,127.66792807374492,295.32865237636065
187.0,333.0,143.0,373.0,142.6972286442329,373.48100315970873
203.0,338.0,159.0,378.0,158.7284785250236,378.4907497112224
168.0,278.0,124.0,319.0,123.66011560354724,318.373577887244
167.0,400.0,122.0,441.0,122.6581662932445,440.6118506137798
274.0,113.0,230.0,153.0,229.8671384492923,153.05130206984973
147.0,350.0,102.0,391.0,102.61910394225612,390.5142023508022
218.0,340.0,174.0,381.0,173.75777909551158,380.49467878980136
446.0,73.0,402.0,113.0,402.2030898967792,112.97317736787295
262.0,434.0,218.0,474.0,217.843716267686,474.67824899596667
229.0,384.0,185.0,425.0,184.77925196681514,424.58060073298907
99.0,210.0,55.0,251.0,54.52535429988397,250.24076589388346
