x1,y1,x2,y2,x2_,y2_
276.0,38.0,276.0,13.0,276.7589908422116,13.902480438921998
298.0,113.0,301.0,89.0,301.00506399383175,89.88178715058989
364.0,103.0,366.0,73.0,367.6198377502956,74.2953018228587
310.0,118.0,313.0,94.0,313.29451760174544,94.11339697381472
90.0,107.0,90.0,100.0,90.09011219385114,100.12687815618793
302.0,149.0,306.0,126.0,305.9962031057923,126.87106899544254
325.0,99.0,327.0,73.0,327.99836486743374,73.2369665071609
312.0,175.0,316.0,152.0,316.80631850669795,153.02272960540068
266.0,145.0,269.0,125.0,269.4145063902183,125.57529047510286
372.0,107.0,375.0,76.0,375.83016840595553,77.8072169198555
295.0,88.0,297.0,64.0,297.3138477124676,64.21237806221792
307.0,89.0,308.0,63.0,309.4990404441556,64.29887568041434
300.0,171.0,304.0,149.0,304.54295296132085,149.82740544792634
264.0,80.0,265.0,58.0,265.69424464876136,58.37576389143352
231.0,153.0,234.0,136.0,234.15879010980376,136.63565514800763
337.0,62.0,338.0,33.0,339.1933686257257,33.945050467454756
339.0,133.0,343.0,106.0,343.069975994561,107.3622149006932
112.0,78.0,111.0,68.0,111.62622492888742,68.33367871975902
271.0,91.0,273.0,69.0,273.0737198139334,69.22075023863056
344.0,125.0,347.0,97.0,347.9278392281765,98.67629750319352
326.0,131.0,329.0,106.0,329.84546693588067,106.31859458061369
402.0,68.0,404.0,34.0,405.2117748747956,35.018085549784125
355.0,118.0,358.0,90.0,358.89131240093076,90.55174890418719
257.0,61.0,257.0,39.0,258.10630864708486,39.2405835921532
212.0,146.0,215.0,130.0,214.72439500677223,130.88555382440637
238.0,137.0,240.0,119.0,240.83470995177342,119.50123309967665
396.0,78.0,398.0,44.0,399.39279858585036,45.85572201366539
254.0,207.0,258.0,190.0,258.87094274600264,190.77407403680954
103.0,36.0,102.0,25.0,101.41244657740216,25.52248247075358
325.0,77.0,327.0,49.0,327.4250975670466,50.438940753425044
234.0,118.0,236.0,100.0,236.28656534637153,100.12862482474118
214.0,158.0,217.0,142.0,217.06361893537417,143.16254928277016
266.0,161.0,270.0,141.0,269.8314280632271,142.15567837926955
206.0,57.0,206.0,39.0,206.32570063709812,39.13202109502269
280.0,149.0,283.0,129.0,283.7044198384275,128.612319162816
196.0,74.0,196.0,57.0,196.63604700341693,57.54015678475925
246.0,78.0,247.0,58.0,247.40341151996114,57.7278822457571
346.0,116.0,349.0,89.0,349.7198382319676,89.19152241559848
218.0,114.0,219.0,97.0,219.97013445330379,97.24987637780254
132.0,61.0,132.0,50.0,131.44849624483498,49.134050452229616
237.0,166.0,241.0,149.0,240.57710653268592,149.63234533259947
142.0,41.0,141.0,28.0,141.05997706482705,27.617088223215145
185.0,57.0,185.0,41.0,185.04717609216266,40.794123527515545
225.0,188.0,229.0,172.0,228.99122347696138,173.38014390490264
271.0,179.0,275.0,159.0,275.36678901548197,160.4128837115474
457.0,66.0,459.0,27.0,460.88910260509465,28.59240402883632
207.0,79.0,207.0,61.0,207.91222665991458,61.85091434286468
313.0,225.0,318.0,203.0,319.1224574572799,204.75728645654763
312.0,75.0,313.0,48.0,314.2005580503928,49.39530520435879
279.0,138.0,282.0,116.0,282.4045274658046,117.29246163532204
34.0,352.0,40.0,358.0,39.73152364994447,358.44633728480807
295.0,213.0,300.0,192.0,300.5710482828491,193.7466547562736
349.0,56.0,351.0,26.0,351.1961885834458,26.77762457033152
250.0,147.0,254.0,128.0,253.25443635351562,128.91421033570688
373.0,77.0,375.0,45.0,376.06169899149324,46.6398494791557
219.0,100.0,220.0,82.0,220.61858671185033,82.66289684126944
447.0,50.0,449.0,12.0,450.3395632498195,12.803493473475704
281.0,196.0,286.0,175.0,285.94238597532024,177.23806470367174
203.0,45.0,202.0,26.0,202.9732179860669,26.9341733715395
159.0,37.0,158.0,22.0,158.1812058438197,22.12647975420309
91.0,459.0,102.0,464.0,100.2756629514615,464.816249083988
213.0,132.0,215.0,116.0,215.3728472653188,116.29855905888651
147.0,55.0,146.0,41.0,146.49109236984296,41.72919657945132
257.0,43.0,257.0,20.0,257.6372717649499,20.58765481445904
383.0,99.0,386.0,68.0,386.76758397414676,68.64639788408542
200.0,112.0,201.0,96.0,201.6792860955168,96.60199473212609
258.0,134.0,261.0,114.0,261.02177250261695,114.8094670917732
267.0,49.0,267.0,25.0,267.9262350745946,26.01381531522205
176.0,52.0,176.0,37.0,175.79752910951032,36.325085728635656
377.0,68.0,379.0,36.0,379.88021544014293,36.99677892179942
114.0,471.0,124.0,474.0,123.89338096702544,475.43115733884565
258.0,184.0,262.0,165.0,262.32465273076957,166.62317167780077
192.0,44.0,191.0,26.0,191.80126874782147,26.768528018462504
150.0,69.0,150.0,56.0,149.8956902300003,55.99960040544872
301.0,159.0,304.0,137.0,305.2435204289935,137.31296678492072
170.0,455.0,181.0,453.0,180.21917618485784,454.41849628136475
336.0,86.0,338.0,58.0,338.8054924128097,58.894780058585425
241.0,189.0,244.0,172.0,245.22948155634,173.1500505835766
27.0,79.0,26.0,77.0,25.524971318239473,76.09750662137475
235.0,200.0,239.0,184.0,239.4365476429711,185.02395748422154
225.0,50.0,225.0,30.0,225.3952740472602,30.374290616971457
391.0,60.0,391.0,26.0,393.8574376335955,27.598516681387522
338.0,108.0,341.0,81.0,341.4052771580554,81.53451034256003
317.0,150.0,321.0,125.0,321.2212024627416,126.72013863798384
38.0,101.0,37.0,97.0,37.244130252309006,98.02492252041061
289.0,159.0,293.0,137.0,293.0843548438951,138.26273960348806
335.0,150.0,339.0,124.0,339.45992038241576,125.29547941013281
143.0,493.0,154.0,495.0,153.8512730497559,495.93391401003055
215.0,58.0,216.0,39.0,215.47111720149826,39.45596191786095
101.0,107.0,102.0,99.0,101.23601905652028,99.25625307250121
409.0,82.0,412.0,48.0,412.6694228536568,48.971883207272356
255.0,93.0,256.0,72.0,256.913634548244,72.55967009923457
238.0,65.0,238.0,45.0,238.95856242323367,44.88948753092649
123.0,43.0,122.0,31.0,121.86010040286295,31.193451288460984
280.0,163.0,284.0,143.0,284.06922630231026,143.12016619345525
170.0,86.0,171.0,72.0,170.60392010109163,72.03330404876692
