x1,y1,x2,y2,x2_,y2_
135.0,151.0,135.0,150.0,135.21468603526142,150.2609577454321
134.0,49.0,135.0,52.0,134.18606224383885,51.46873340260222
178.0,42.0,179.0,45.0,179.44550906643155,44.68887591235205
20.0,96.0,17.0,98.0,16.92293482248247,96.99064129387419
83.0,96.0,82.0,97.0,81.72624128169603,96.99064129387419
50.0,182.0,47.0,181.0,47.78164856515932,180.28604091654003
86.0,158.0,84.0,157.0,84.81211265596372,157.04081523568226
75.0,90.0,74.0,92.0,73.49725095031553,91.17933487365976
25.0,59.0,23.0,61.0,22.06605377959528,61.154244102959616
118.0,114.0,118.0,115.0,117.72807398148566,114.42456055451751
105.0,80.0,104.0,83.0,104.35596469299237,81.49382417330236
97.0,148.0,96.0,147.0,96.12697436161189,147.35530453532488
126.0,30.0,126.0,33.0,125.95706431286617,33.06626307192316
153.0,21.0,154.0,25.0,153.72991428086752,24.349303441601503
99.0,218.0,99.0,215.0,98.18422194445701,215.15387943782665
95.0,196.0,95.0,193.0,94.06972677876676,193.8457558970404
62.0,170.0,60.0,168.0,60.12513406223004,168.66342807611113
73.0,171.0,72.0,170.0,71.44000336747042,169.6319791461469
85.0,82.0,84.0,83.0,83.78348886454117,83.43092631337385
119.0,57.0,118.0,59.0,118.75669777290823,59.217141962888135
53.0,32.0,51.0,35.0,50.867519939426984,35.00336521199465
179.0,20.0,180.0,24.0,180.4741328578541,23.38075237156577
217.0,229.0,219.0,225.0,219.56183693191142,225.80794120821977
187.0,34.0,188.0,37.0,188.7031231892346,36.94046735206614
27.0,132.0,24.0,132.0,24.123301362440394,131.85848741475303
25.0,71.0,22.0,74.0,22.06605377959528,72.7768645429807
86.0,66.0,85.0,69.0,84.81211265596372,67.934109192802
111.0,148.0,110.0,146.0,110.52770744152774,147.35530453532488
31.0,94.0,28.0,96.0,28.237796528130637,95.05353915380272
83.0,145.0,83.0,144.0,81.72624128169603,144.44965132521764
40.0,70.0,38.0,72.0,37.49541065093369,71.80831347294496
11.0,145.0,8.0,144.0,7.665320699679418,144.44965132521764
61.0,56.0,59.0,58.0,59.09651027080748,58.2485908928524
66.0,119.0,64.0,118.0,64.2396368275125,119.26731590469622
106.0,166.0,105.0,165.0,105.38458848441493,164.78922379596818
80.0,125.0,79.0,125.0,78.64036990742835,125.07862232491065
142.0,10.0,142.0,13.0,142.41505257521933,13.695241671208374
44.0,55.0,41.0,58.0,41.609905816623936,57.28003982281665
105.0,23.0,105.0,26.0,104.35596469299237,26.286405581672984
103.0,188.0,102.0,186.0,102.29871711014725,186.09734733675447
143.0,72.0,143.0,74.0,143.4436763666419,73.74541561301643
87.0,39.0,86.0,42.0,85.84073644738628,41.78322270224483
51.0,42.0,49.0,45.0,48.81027235658187,44.68887591235205
149.0,34.0,150.0,37.0,149.61541911517727,36.94046735206614
97.0,51.0,97.0,53.0,96.12697436161189,53.4058355426737
101.0,119.0,101.0,119.0,100.24146952730213,119.26731590469622
68.0,100.0,65.0,102.0,66.29688441035762,100.86484557401715
99.0,40.0,98.0,43.0,98.18422194445701,42.75177377228056
70.0,9.0,69.0,13.0,68.35413199320274,12.726690601172626
111.0,52.0,109.0,54.0,110.52770744152774,54.374386612709436
121.0,219.0,121.0,215.0,120.81394535575336,216.12243050786242
12.0,117.0,9.0,117.0,8.693944491101982,117.33021376462473
38.0,130.0,36.0,130.0,35.43816306808858,129.92138527468157
141.0,199.0,141.0,197.0,141.3864287837968,196.7514091071476
61.0,104.0,58.0,105.0,59.09651027080748,104.73904985416011
34.0,51.0,32.0,54.0,31.323667902398345,53.4058355426737
41.0,99.0,39.0,100.0,38.52403444235625,99.89629450398142
129.0,109.0,129.0,109.0,129.04294328672606,109.58180520433882
202.0,18.0,204.0,21.0,204.13248006057302,21.443650231494303
18.0,126.0,15.0,126.0,14.865687239637355,126.0471733949464
130.0,82.0,130.0,83.0,130.0715670781486,83.43092631337385
188.0,235.0,192.0,232.0,189.73174698065716,231.61924762843424
39.0,187.0,36.0,184.0,36.466786859511124,185.12879626671872
56.0,130.0,55.0,130.0,53.95339131369467,129.92138527468157
172.0,110.0,173.0,110.0,173.2737663178962,110.55035627437455
17.0,76.0,15.0,78.0,13.83706344821479,77.61961989315941
72.0,133.0,70.0,133.0,70.41137957604786,132.82703848478877
160.0,54.0,161.0,55.0,160.93028082082546,56.31148875278092
73.0,56.0,73.0,57.0,71.44000336747042,58.2485908928524
183.0,15.0,185.0,19.0,184.58862802354435,18.53799702138707
30.0,78.0,28.0,80.0,27.209172736708087,79.55672203323088
95.0,176.0,95.0,175.0,94.06972677876676,174.4747344963256
111.0,133.0,111.0,133.0,110.52770744152774,132.82703848478877
192.0,20.0,195.0,22.0,193.8462421463474,23.38075237156577
72.0,147.0,71.0,147.0,70.41137957604786,146.38675346528913
52.0,198.0,50.0,197.0,49.83889614800442,195.78285803711188
