x1,y1,x2,y2,x2_,y2_
158.0,152.0,205.0,184.0,204.7999625506294,183.78087928756332
138.0,157.0,185.0,189.0,184.76090019964101,188.79064106806374
280.0,435.0,328.0,467.0,327.0382352771652,467.33360013230896
240.0,427.0,287.0,459.0,286.9601105751884,459.3179751919136
90.0,124.0,137.0,156.0,136.66713532828214,155.72619199617958
317.0,235.0,364.0,267.0,364.1105120482338,266.9429918514118
260.0,49.0,307.0,81.0,306.99918815516355,80.57970437272645
226.0,140.0,273.0,172.0,272.9327745439899,171.7574418769703
260.0,117.0,307.0,149.0,306.99918815516355,148.7125315950737
322.0,218.0,369.0,250.0,369.12025859974744,249.90979266031837
350.0,74.0,397.0,106.0,397.1749611201179,105.62852850421525
199.0,453.0,247.0,485.0,245.8800365629089,485.3687790916786
259.0,188.0,306.0,220.0,305.99720838688734,219.85119151934242
368.0,431.0,415.0,463.0,415.2101096215141,463.325802891098
288.0,92.0,335.0,124.0,335.05386021756055,123.66369223459817
366.0,414.0,413.0,446.0,413.20621100090864,446.2926037000046
162.0,56.0,209.0,88.0,208.80777502082708,87.59338000281907
246.0,197.0,293.0,229.0,292.9718368949783,228.8687657700405
210.0,452.0,257.0,484.0,256.9015246631992,484.3668297813759
418.0,338.0,465.0,370.0,465.3077578844917,370.14415153726196
159.0,96.0,206.0,128.0,205.80191186093214,127.67150470479585
153.0,62.0,200.0,93.0,199.79018554114225,93.60510632260896
363.0,19.0,410.0,51.0,410.20033261202695,50.52111846073724
424.0,140.0,471.0,172.0,471.3194842042816,171.7574418769703
314.0,202.0,361.0,234.0,361.1046336593521,233.87854277952766
143.0,146.0,190.0,178.0,189.77066198014143,177.76916819676018
285.0,278.0,332.0,309.0,332.04801228665235,310.02697971328354
328.0,90.0,375.0,123.0,375.13198491953733,121.65977838500596
403.0,153.0,450.0,185.0,450.27845731400373,184.78282859786606
302.0,80.0,349.0,112.0,349.0812114777458,111.64025482400514
341.0,88.0,388.0,120.0,388.15738686941984,119.6558797644005
325.0,152.0,372.0,184.0,372.1261369886291,183.78087928756332
255.0,230.0,302.0,262.0,301.9894111456764,261.9332300709114
130.0,454.0,177.0,486.0,176.74527525924566,486.37072840198135
213.0,152.0,260.0,184.0,259.9073725941074,183.78087928756332
326.0,270.0,373.0,302.0,373.12808629893186,302.0113547728882
143.0,92.0,189.0,124.0,189.77066198014143,123.66369223459817
84.0,149.0,131.0,181.0,130.655424237479,180.77501612766838
69.0,112.0,116.0,144.0,115.62613889597775,143.70275458558655
244.0,172.0,291.0,204.0,290.9679230453861,203.8199416385517
220.0,132.0,267.0,165.0,266.92104822420004,163.74181693657493
198.0,249.0,245.0,281.0,244.87808725260618,280.9703278826103
142.0,449.0,189.0,481.0,188.7687126698387,481.3609513924942
155.0,85.0,201.0,117.0,201.79409939073446,116.65003183349229
280.0,463.0,327.0,495.0,327.0382352771652,495.38830265267944
67.0,405.0,114.0,437.0,113.62222504638554,437.2750294493065
99.0,129.0,146.0,162.0,145.68472480796697,160.73595377668
184.0,51.0,231.0,83.0,230.85073599242094,82.58361822231866
165.0,458.0,213.0,490.0,211.81362295173528,490.3785256431923
335.0,449.0,382.0,480.0,382.14566054962995,481.3609513924942
299.0,340.0,346.0,372.0,346.0753330888641,372.1480806158409
120.0,69.0,167.0,101.0,166.7257364692581,100.61878195270158
250.0,47.0,297.0,79.0,296.979649365176,78.57580575212098
269.0,181.0,316.0,213.0,316.01676240586164,212.8375158892498
212.0,113.0,260.0,145.0,258.9054232838047,144.70470389588928
355.0,120.0,402.0,152.0,402.1847076716316,151.7183795259819
155.0,140.0,201.0,172.0,201.79409939073446,171.7574418769703
250.0,457.0,297.0,489.0,296.979649365176,489.37657633288956
366.0,473.0,413.0,503.0,413.20621100090864,505.40782621368027
153.0,453.0,200.0,485.0,199.79018554114225,485.3687790916786
338.0,161.0,385.0,193.0,385.15150848053815,192.7984535382614
274.0,428.0,321.0,459.0,321.0265089573753,460.3199549601898
264.0,429.0,311.0,461.0,311.0069853963745,461.32190427049255
292.0,182.0,339.0,214.0,339.061687916745,213.83948042853928
330.0,198.0,376.0,230.0,377.1358835401428,229.87073030932999
201.0,468.0,248.0,501.0,247.88393518351438,500.3980796621666
448.0,188.0,495.0,219.0,495.36635902546766,219.85119151934242
316.0,66.0,363.0,98.0,363.10856273793104,97.6129035638199
