x1,y1,x2,y2,x2_,y2_
195.0,86.0,212.0,81.0,208.6936261995738,81.23826062600529
157.0,197.0,164.0,206.0,162.98462609884342,204.97448679218576
129.0,75.0,130.0,68.0,129.30431023514734,68.97611284012716
114.0,231.0,111.0,244.0,111.26127628000368,242.87567085762723
175.0,113.0,187.0,111.0,184.63625772550517,111.33625973679703
181.0,80.0,195.0,74.0,191.85346826772576,74.54981637916266
100.0,18.0,97.0,12.0,94.42111834815564,5.435884895530171
168.0,56.0,178.0,48.0,176.21617875958117,47.79603179220001
110.0,102.0,105.0,99.0,106.44980258518996,99.0741119509189
150.0,92.0,155.0,88.0,154.56454713291942,87.92670487284789
161.0,188.0,169.0,196.0,167.79609979365713,194.94182042192188
123.0,45.0,122.0,35.0,122.08709209333456,35.5338840063219
144.0,23.0,148.0,10.0,147.34733659069883,11.009588434565657
170.0,33.0,180.0,21.0,178.621915606988,22.156995512636673
33.0,189.0,9.0,196.0,13.828926360433563,196.05656112972895
170.0,199.0,181.0,208.0,178.621915606988,207.2039682078
128.0,96.0,129.0,92.0,128.10144181144392,92.3856677040763
199.0,76.0,217.0,70.0,213.5050998943875,70.09085354793426
158.0,63.0,166.0,55.0,164.18749452254684,55.59921674684973
178.0,60.0,191.0,52.0,188.24486299661547,52.25499462342843
122.0,66.0,120.0,59.0,120.88422366963113,58.94344646986325
125.0,57.0,125.0,48.0,124.49282894074142,48.91077250000712
145.0,104.0,149.0,101.0,148.55020501440225,101.30359336653311
120.0,35.0,119.0,24.0,118.47848682222427,24.38647692825088
193.0,59.0,210.0,50.0,206.28788935216693,51.14025391562132
189.0,191.0,205.0,198.0,201.47641565735321,198.28604254534318
213.0,167.0,234.0,172.0,230.34525782623555,171.53226555797272
176.0,19.0,188.0,8.0,185.8391261492086,6.550625603337259
64.0,20.0,48.0,8.0,51.11785509483213,7.665366311144362
196.0,47.0,214.0,37.0,209.89649462327725,37.7633654219361
95.0,23.0,85.0,9.0,88.4067762296385,11.009588434565657
211.0,87.0,231.0,82.0,227.93952097882868,82.35300133381239
167.0,90.0,177.0,85.0,175.01331033587772,85.69722345723369
155.0,158.0,161.0,162.0,160.57888925143655,161.4995991877088
130.0,204.0,129.0,214.0,130.5071786588508,212.7776717468355
113.0,72.0,109.0,65.0,110.05840785630025,65.63189071670585
192.0,35.0,208.0,23.0,205.0850209284635,24.38647692825088
187.0,70.0,201.0,63.0,199.07067880994634,63.40240930109165
199.0,160.0,216.0,164.0,213.5050998943875,163.729080603323
119.0,22.0,116.0,11.0,117.27561839852083,9.894847726758554
90.0,167.0,81.0,171.0,82.39243411112133,171.53226555797272
165.0,221.0,175.0,233.0,172.60757348847088,231.72826377955622
154.0,215.0,160.0,226.0,159.37602082773313,225.0398195327136
121.0,201.0,120.0,211.0,119.6813552459277,209.4334496234142
72.0,26.0,58.0,13.0,60.74080248445958,14.35381055798698
134.0,61.0,136.0,53.0,135.3186523536645,53.369735331235525
80.0,56.0,68.0,47.0,70.36374987408703,47.79603179220001
78.0,23.0,66.0,10.0,67.95801302668016,11.009588434565657
159.0,167.0,167.0,172.0,165.3903629462503,171.53226555797272
128.0,190.0,128.0,198.0,128.10144181144392,197.17130183753605
140.0,196.0,144.0,204.0,142.5358628958851,203.85974608437868
135.0,50.0,139.0,42.0,136.52152077736795,41.107587545357426
183.0,135.0,198.0,136.0,194.25920511513263,135.86056290814548
107.0,41.0,102.0,30.0,102.84119731407966,31.0749211750935
145.0,227.0,149.0,239.0,148.55020501440225,238.41670802639882
187.0,166.0,201.0,172.0,199.07067880994634,170.41752485016562
89.0,29.0,80.0,17.0,81.18956568741791,17.698032681408275
107.0,82.0,102.0,77.0,102.84119731407966,76.77929779477688
209.0,204.0,229.0,214.0,225.53378413142184,212.7776717468355
156.0,120.0,163.0,119.0,161.78175767514,119.13944469144674
184.0,32.0,198.0,20.0,195.46207353883605,21.042254804829568
103.0,75.0,96.0,68.0,98.02972361926594,68.97611284012716
202.0,110.0,221.0,107.0,217.1137051654978,107.99203761337571
86.0,175.0,76.0,181.0,77.58096041630762,180.45019122042953
200.0,147.0,218.0,150.0,214.70796831809096,149.2374514018307
200.0,225.0,218.0,237.0,214.70796831809096,236.18722661078462
177.0,220.0,189.0,230.0,187.04199457291205,230.6135230717491
124.0,219.0,124.0,233.0,123.289960517038,229.498782363942
186.0,104.0,200.0,101.0,197.86781038624292,101.30359336653311
171.0,235.0,182.0,247.0,179.82478403069146,247.33463368885563
126.0,213.0,125.0,223.0,125.69569736444485,222.8103381170994
136.0,39.0,137.0,28.0,137.72438920107138,28.84543975947929
154.0,47.0,160.0,36.0,159.37602082773313,37.7633654219361
130.0,86.0,128.0,81.0,130.5071786588508,81.23826062600529
145.0,208.0,151.0,217.0,148.55020501440225,217.2366345780639
201.0,185.0,220.0,191.0,215.91083674179438,191.59759829850054
164.0,155.0,174.0,158.0,171.40470506476743,158.1553770642875
172.0,211.0,184.0,221.0,181.02765245439488,220.5808567014852
142.0,37.0,147.0,25.0,144.94159974329196,26.615958343865085
178.0,67.0,192.0,60.0,188.24486299661547,60.05818717767034
180.0,121.0,193.0,120.0,190.65059984402234,120.25418539925384
175.0,95.0,187.0,90.0,184.63625772550517,91.2709269962692
45.0,140.0,25.0,141.0,28.263347444874732,141.434266447181
144.0,173.0,148.0,179.0,147.34733659069883,178.22070980481533
157.0,30.0,160.0,16.0,162.98462609884342,18.81277338921538
153.0,148.0,161.0,151.0,158.1731524040297,150.3521921096378
207.0,60.0,227.0,51.0,223.12804728401497,52.25499462342843
208.0,47.0,227.0,36.0,224.3309157077184,37.7633654219361
77.0,34.0,64.0,23.0,66.75514460297674,23.271736220443792
128.0,31.0,127.0,19.0,128.10144181144392,19.92751409702248
133.0,157.0,136.0,161.0,134.11578392996108,160.3848584799017
160.0,111.0,167.0,109.0,166.5932313699537,109.10677832118282
171.0,102.0,182.0,98.0,179.82478403069146,99.0741119509189
146.0,123.0,151.0,122.0,149.75307343810567,122.48366681486804
139.0,70.0,141.0,63.0,141.33299447218167,63.40240930109165
214.0,108.0,236.0,106.0,231.548126249939,105.76255619776151
116.0,93.0,113.0,88.0,113.66701312741054,89.041445580655
140.0,220.0,142.0,231.0,142.5358628958851,230.6135230717491
100.0,82.0,93.0,76.0,94.42111834815564,76.77929779477688
40.0,146.0,18.0,148.0,22.249005326357583,148.1227106940236
189.0,144.0,205.0,147.0,201.47641565735321,145.8932292784094
192.0,177.0,208.0,183.0,205.0850209284635,182.67967263604373
188.0,232.0,204.0,246.0,200.2735472336498,243.99041156543433
