x1,y1,x2,y2,x2_,y2_
151.0,192.0,151.0,192.0,151.09180307388306,192.25195688009262
144.0,36.0,144.0,36.0,144.06445974111557,35.64257597923279
164.0,233.0,164.0,233.0,164.14258354902267,233.41211068630219
136.0,71.0,136.0,71.0,136.03321021795273,70.77930024266243
115.0,202.0,115.0,202.0,114.95117262005806,202.29101878404617
147.0,70.0,147.0,70.0,147.07617831230164,69.77539405226707
144.0,167.0,144.0,167.0,144.06445974111557,167.15430212020874
90.0,138.0,90.0,138.0,89.85351786017418,138.04102259874344
209.0,21.0,209.0,21.0,209.31836211681366,20.58398312330246
212.0,44.0,212.0,44.0,212.33008068799973,43.67382550239563
140.0,228.0,140.0,228.0,140.04883497953415,228.3925797343254
169.0,196.0,169.0,196.0,169.16211450099945,196.26758164167404
125.0,186.0,125.0,186.0,124.99023452401161,186.2285197377205
142.0,195.0,142.0,195.0,142.05664736032486,195.2636754512787
89.0,15.0,89.0,15.0,88.84961166977882,14.560545980930328
103.0,225.0,103.0,225.0,102.9042983353138,225.38086116313934
153.0,44.0,153.0,44.0,153.09961545467377,43.67382550239563
134.0,19.0,134.0,19.0,134.02539783716202,18.57617074251175
153.0,178.0,153.0,178.0,153.09961545467377,178.19727021455765
112.0,143.0,112.0,143.0,111.939454048872,143.06055355072021
152.0,222.0,152.0,222.0,152.0957092642784,222.36914259195328
166.0,40.0,166.0,40.0,166.15039592981339,39.65820074081421
147.0,13.0,147.0,13.0,147.07617831230164,12.552733600139618
131.0,198.0,131.0,198.0,131.01367926597595,198.27539402246475
130.0,164.0,130.0,164.0,130.0097730755806,164.14258354902267
214.0,101.0,214.0,101.0,214.33789306879044,100.89648595452309
83.0,153.0,83.0,153.0,82.82617452740669,153.09961545467377
171.0,150.0,171.0,150.0,171.16992688179016,150.0878968834877
138.0,54.0,138.0,54.0,138.04102259874344,53.71288740634918
157.0,162.0,157.0,162.0,157.1152402162552,162.13477116823196
196.0,25.0,196.0,25.0,196.26758164167404,24.59960788488388
164.0,53.0,164.0,53.0,164.14258354902267,52.70898121595383
210.0,93.0,210.0,93.0,210.32226830720901,92.86523643136024
88.0,228.0,88.0,228.0,87.84570547938347,228.3925797343254
101.0,31.0,101.0,31.0,100.89648595452309,30.623045027256012
224.0,60.0,224.0,60.0,224.376954972744,59.73632454872131
157.0,23.0,157.0,23.0,157.1152402162552,22.59179550409317
195.0,40.0,195.0,40.0,195.2636754512787,39.65820074081421
204.0,32.0,204.0,32.0,204.29883116483688,31.626951217651367
182.0,13.0,182.0,13.0,182.21289497613907,12.552733600139618
170.0,16.0,170.0,16.0,170.1660206913948,15.564452171325684
