x1,y1,x2,y2,x2_,y2_
203.0,185.0,195.0,185.0,195.06928962877805,184.87924747971468
218.0,220.0,209.0,220.0,208.49365029682824,219.8057413197892
130.0,61.0,130.0,61.0,129.73740104426724,61.13965410426615
238.0,104.0,227.0,104.0,226.39279785422846,104.04935413594995
183.0,21.0,178.0,22.0,177.17014207137782,21.223661144180955
220.0,178.0,211.0,178.0,210.28356505256826,177.89394871169975
121.0,41.0,122.0,42.0,121.68277704384492,41.18165762422356
241.0,81.0,231.0,82.0,229.0776699878385,81.09765818390096
115.0,226.0,116.0,226.0,116.31303277662487,225.793140263802
193.0,239.0,186.0,238.0,186.11971585007794,238.7658379758297
132.0,38.0,132.0,39.0,131.52731580000724,38.18795815221716
92.0,241.0,95.0,241.0,95.7290130856146,240.76163762383396
67.0,156.0,73.0,155.0,73.35507863886431,155.94015258365292
54.0,56.0,61.0,57.0,61.720625126961956,56.1501549842555
84.0,218.0,88.0,218.0,88.56935406265451,217.80994167178497
82.0,18.0,87.0,19.0,86.77943930691448,18.229961672174586
85.0,229.0,89.0,228.0,89.46431144052453,228.78683973580837
77.0,247.0,82.0,246.0,82.30465241756444,246.74903656784673
134.0,91.0,134.0,91.0,133.31723055574727,91.07665642392226
65.0,11.0,71.0,11.0,71.5651638831243,11.244662904159652
170.0,48.0,165.0,48.0,165.5356961590677,48.16695639223847
121.0,159.0,122.0,159.0,121.68277704384492,158.93385205565932
105.0,24.0,108.0,24.0,107.36345899792475,24.217360616187353
27.0,95.0,37.0,95.0,37.556775924471665,95.06825571993078
162.0,71.0,158.0,72.0,158.37603713610758,71.11865994387966
114.0,236.0,115.0,235.0,115.41807539875485,235.7721385038233
148.0,136.0,146.0,135.0,145.84663384592744,135.98215610361032
131.0,77.0,130.0,78.0,130.63235842213726,77.10605888789244
49.0,18.0,56.0,19.0,57.245838237611906,18.229961672174586
151.0,159.0,149.0,159.0,148.53150597953749,158.93385205565932
166.0,61.0,162.0,61.0,161.95586664758764,61.13965410426615
41.0,63.0,50.0,63.0,50.08617921465182,63.13545375227041
147.0,91.0,145.0,91.0,144.95167646805743,91.07665642392226
91.0,209.0,95.0,208.0,94.83405570774458,208.8288432557658
50.0,154.0,58.0,154.0,58.140795615481935,153.94435293564865
200.0,81.0,193.0,81.0,192.38441749516804,81.09765818390096
165.0,141.0,161.0,141.0,161.06090926971763,140.97165522362096
121.0,203.0,122.0,203.0,121.68277704384492,202.841444311753
232.0,71.0,222.0,70.0,221.02305358700838,71.11865994387966
122.0,178.0,122.0,178.0,122.57773442171494,177.89394871169975
134.0,176.0,133.0,176.0,133.31723055574727,175.8981490636955
200.0,104.0,193.0,104.0,192.38441749516804,104.04935413594995
181.0,51.0,175.0,52.0,175.38022731563782,51.16065586424485
213.0,209.0,205.0,209.0,204.01886340747816,208.8288432557658
78.0,53.0,84.0,54.0,83.19960979543444,53.15645551224912
142.0,164.0,140.0,164.0,140.4768895787074,163.92335117566995
124.0,247.0,124.0,247.0,124.36764917745496,246.74903656784673
220.0,75.0,211.0,75.0,210.28356505256826,75.11025923988818
158.0,52.0,155.0,52.0,154.79620762462756,52.15855568824699
