x1,y1,x2,y2,x2_,y2_
51.0,225.0,81.0,238.0,77.652649043439,246.2297083564897
40.0,208.0,67.0,225.0,61.91044850251892,232.1611765724073
112.0,235.0,141.0,231.0,141.65518863748386,239.64419929581095
124.0,152.0,131.0,152.0,130.75875156543944,153.04957809011796
152.0,240.0,179.0,226.0,183.19357104305828,233.76237223819274
103.0,25.0,78.0,38.0,74.57069093686992,31.2766896657608
68.0,166.0,82.0,179.0,78.40996103576992,182.3661659690859
48.0,21.0,25.0,48.0,18.250141113398772,42.25043216737248
158.0,226.0,180.0,212.0,185.34705205296004,218.07248187121854
172.0,201.0,188.0,184.0,192.49110276765504,189.1593518079764
174.0,189.0,187.0,173.0,191.18180989204254,176.5674096227524
107.0,47.0,88.0,58.0,84.66767533519051,52.27249005349912
176.0,23.0,146.0,18.0,147.30299955925585,9.373898917459263
58.0,27.0,38.0,52.0,29.947755645553936,45.54852980734586
95.0,28.0,72.0,44.0,67.36871772780788,36.46867983886585
123.0,141.0,127.0,141.0,126.71416555667449,142.27914394600893
135.0,155.0,142.0,151.0,142.63100357348134,153.06342320866543
120.0,75.0,107.0,81.0,105.4583680752709,76.8389296310429
197.0,68.0,177.0,55.0,180.82417426907026,48.8264721298051
166.0,238.0,192.0,220.0,196.69540683252603,227.9390845540438
99.0,37.0,77.0,51.0,73.87217143169168,44.413699751464556
63.0,50.0,47.0,72.0,41.325071672303466,67.27570243523967
108.0,70.0,95.0,79.0,92.02936660035864,75.08980608194463
48.0,40.0,31.0,67.0,23.502224436037153,61.324649784884215
173.0,174.0,182.0,159.0,186.03152213114322,161.78135071706194
60.0,238.0,94.0,247.0,90.28133545143399,256.8276832794705
170.0,220.0,191.0,202.0,195.73537370950268,208.7786373259679
27.0,68.0,19.0,98.0,10.160106702675456,95.15724367058372
154.0,215.0,175.0,202.0,178.29074747300902,208.1196495778291
159.0,82.0,145.0,77.0,146.54569516651713,73.23744890445529
142.0,89.0,130.0,88.0,131.4142679960313,84.89786939130065
159.0,93.0,147.0,88.0,149.58637498488673,84.28041699880421
89.0,18.0,64.0,35.0,58.58102620509976,28.064821636351574
24.0,56.0,14.0,88.0,3.8312828750862096,83.92796363696687
157.0,188.0,171.0,176.0,173.8389792172879,180.19658058643492
114.0,19.0,88.0,30.0,83.95510640301723,22.255379070750053
79.0,231.0,109.0,236.0,107.42058260230274,244.6221948921454
113.0,150.0,120.0,153.0,119.16293259502332,154.03963916196588
200.0,95.0,188.0,79.0,191.2993796671635,75.11433741976006
230.0,55.0,203.0,34.0,210.3595478576802,26.78206369715742
188.0,35.0,160.0,27.0,162.6669791004033,18.15036579932503
190.0,52.0,166.0,41.0,169.3740239277652,34.67170313556633
120.0,90.0,111.0,95.0,109.60474964577489,91.89752248697323
163.0,207.0,180.0,193.0,185.11449968229843,197.63559450250742
206.0,55.0,182.0,40.0,186.2657992881917,33.322878502914406
183.0,90.0,170.0,79.0,172.85084724027448,74.72788362186115
114.0,177.0,127.0,177.0,127.63032561232585,180.8725723524006
59.0,218.0,87.0,230.0,83.74892050036665,237.02209342180325
135.0,41.0,112.0,45.0,111.11850363765107,38.618102304410506
134.0,240.0,160.0,231.0,165.1232596159419,238.6679833425105
207.0,77.0,187.0,61.0,193.3510651153262,55.13628834096456
132.0,66.0,116.0,70.0,115.01742101730498,64.53336651460623
37.0,50.0,24.0,79.0,15.223510722024233,74.3615851414764
35.0,8.0,11.0,40.0,1.6058299438223713,32.742593045351214
142.0,78.0,129.0,78.0,128.3735881776617,73.85490129695174
16.0,177.0,36.0,202.0,29.247511353988823,207.58089947590827
223.0,76.0,203.0,56.0,209.13713872361828,49.77183894673121
31.0,28.0,12.0,60.0,3.118713942912926,53.91085265421782
126.0,165.0,135.0,163.0,136.36009464066692,165.55529066477786
185.0,81.0,169.0,70.0,172.3708306787628,65.14766000782322
36.0,59.0,26.0,87.0,16.707433473931275,83.66927480527445
111.0,9.0,82.0,21.0,78.17913345149518,13.03391901751613
120.0,173.0,133.0,172.0,132.5480610025636,175.22174388937992
37.0,167.0,54.0,188.0,47.5652869719553,191.81862461691736
87.0,167.0,101.0,174.0,97.76060409131526,178.19192710492365
90.0,238.0,120.0,240.0,120.39852876288685,248.65166477227424
43.0,11.0,21.0,42.0,10.466355781086015,33.5740400146183
183.0,232.0,207.0,210.0,212.1032594410455,217.28257025759382
98.0,241.0,129.0,240.0,129.25905460015048,249.4831117415413
211.0,46.0,185.0,30.0,188.79750129786606,22.925053038156843
105.0,112.0,103.0,119.0,100.62751642658372,118.07146792926916
172.0,92.0,159.0,83.0,162.36073002199277,79.73356945529048
167.0,56.0,146.0,51.0,147.38988330080642,44.95560875266486
58.0,13.0,34.0,44.0,26.07779951308355,31.4938431418109
199.0,46.0,172.0,34.0,176.7506270131218,26.195460441035337
101.0,14.0,73.0,29.0,69.52219873770962,20.778789471891645
103.0,178.0,118.0,180.0,116.86378295601054,184.87435199543455
116.0,225.0,141.0,222.0,142.9065590187293,228.5150015908979
156.0,23.0,128.0,23.0,127.22487575134875,14.824577922256758
54.0,126.0,59.0,145.0,53.298249249298784,146.02538605703774
152.0,105.0,145.0,100.0,145.87613690852243,98.23502893522759
76.0,30.0,55.0,50.0,48.847350986363324,43.65463727421418
205.0,33.0,175.0,21.0,179.18053346105714,11.509476264456456
220.0,186.0,228.0,159.0,236.5322183361281,161.01912934053212
131.0,201.0,150.0,195.0,151.33094896144547,200.33324376781127
210.0,106.0,198.0,87.0,204.37912138948664,83.43196601171024
130.0,145.0,135.0,143.0,134.84721824116858,144.38703105591125
148.0,42.0,126.0,42.0,124.44570955082429,36.07906714168751
74.0,96.0,70.0,113.0,65.08361751579014,110.45752134037959
143.0,60.0,125.0,60.0,124.40183648345229,55.51204832000327
82.0,240.0,114.0,245.0,112.92013011579121,252.83974875498396
215.0,64.0,192.0,45.0,197.78878394405226,39.90523626390595
172.0,151.0,175.0,138.0,178.6698308659751,138.96404228820865
171.0,38.0,145.0,33.0,146.42985017778307,25.795161524588963
61.0,193.0,84.0,206.0,78.8460969303174,211.37937076143962
200.0,144.0,198.0,127.0,204.84422613080983,124.30574834872469
71.0,44.0,52.0,66.0,47.697776166856926,59.071993690948524
146.0,247.0,176.0,238.0,179.10511196692136,242.42491927239948
216.0,26.0,183.0,10.0,188.28852348917087,1.4842594790503796
55.0,163.0,71.0,179.0,64.52989664693729,182.8973887510182
122.0,66.0,106.0,71.0,104.97835151375922,67.25870601700497
42.0,72.0,34.0,98.0,26.324401310740203,95.08485917856703
75.0,91.0,69.0,108.0,64.70539651601749,105.16545643816293
160.0,163.0,160.0,155.0,169.940061837634,154.2813239758314
171.0,137.0,170.0,125.0,173.79596854310935,125.18188957291355
109.0,244.0,140.0,241.0,141.1312990086002,249.49695686008877
51.0,98.0,49.0,120.0,42.546618413171956,118.7336145766874
144.0,232.0,170.0,220.0,172.95091801562666,227.9113943169489
95.0,58.0,74.0,72.0,75.66148086881583,66.58586555072654
11.0,135.0,17.0,159.0,12.618112004600894,166.77950923050273
161.0,179.0,165.0,176.0,175.36677503656696,170.07128907191722
218.0,46.0,191.0,29.0,195.82484463063355,21.01731538647772
76.0,86.0,69.0,103.0,64.32717551624485,99.87339153594628
58.0,75.0,49.0,97.0,43.21617667116668,93.73603454591512
172.0,157.0,176.0,143.0,180.32838349417668,144.98747943058078
120.0,51.0,101.0,58.0,98.82415756246453,52.745173461962175
152.0,164.0,155.0,156.0,162.18523775250478,157.46550176814574
223.0,113.0,213.0,91.0,219.36487993086146,86.91636799135935
162.0,56.0,140.0,52.0,142.37035234882964,46.318278503864235
72.0,240.0,105.0,246.0,102.88106821183766,255.56508825738268
128.0,223.0,151.0,218.0,154.40059002699857,223.2367818072287
49.0,64.0,38.0,89.0,31.14034113923888,85.14587200372507
107.0,189.0,125.0,190.0,123.92008753596154,194.827184288824
