source,target,M00,M01,M02,M10,M11,M12,image_path,keypoints
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_0.png,1,0,-0.045787491,0,1,0.040049379,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_0_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_1.png,1,0,0.016464763,0,1,0.044329859,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_1_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_2.png,1,0,-0.030432171,0,1,-0.025381031,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_2_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_3.png,1,0,0.000899397,0,1,0.049283989,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_3_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_4.png,1,0,0.019802556,0,1,0.028135041,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_4_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_5.png,1,0,0.038456432,0,1,0.038371085,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_5_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_6.png,1,0,0.007762176,0,1,-0.001862389,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_6_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_7.png,1,0,-0.006641209,0,1,-0.040935628,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_7_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_8.png,1,0,-0.03582527,0,1,-0.035584501,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_8_keypoints.csv
Dataset/synth_eye_translate_train/img_0_original.png,Dataset/synth_eye_translate_train/img_0_transformed_9.png,1,0,0,0,1,0,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg,Dataset/synth_eye_translate_train/img_0_9_keypoints.csv
Dataset/synth_eye_translate_train/img_1_original.png,Dataset/synth_eye_translate_train/img_1_transformed_0.png,1,0,0.00456921,0,1,0.011859676,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c1.jpg,Dataset/synth_eye_translate_train/img_1_0_keypoints.csv
Dataset/synth_eye_translate_train/img_1_original.png,Dataset/synth_eye_translate_train/img_1_transformed_1.png,1,0,0.028950467,0,1,0.03827176,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c1.jpg,Dataset/synth_eye_translate_train/img_1_1_keypoints.csv
Dataset/synth_eye_translate_train/img_1_original.png,Dataset/synth_eye_translate_train/img_1_transformed_2.png,1,0,0.044046063,0,1,0.043231939,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c1.jpg,Dataset/synth_eye_translate_train/img_1_2_keypoints.csv
