x1,y1,x2,y2,x2_,y2_
228.0,211.0,223.0,219.0,225.95928926704042,215.00090012984708
96.0,82.0,91.0,90.0,93.44366453526132,85.49699396925404
125.0,120.0,119.0,128.0,122.55694405672662,123.64542920427753
98.0,91.0,93.0,98.0,95.45147691605203,94.53214968281223
103.0,144.0,99.0,153.0,100.4710078680288,147.73918537335828
221.0,179.0,216.0,187.0,218.93194593427293,182.8759020371957
150.0,207.0,145.0,215.0,147.6546064162027,210.98527536826566
134.0,220.0,128.0,228.0,131.59210736987703,224.03605584340528
79.0,122.0,74.0,130.0,76.37725929854028,125.65324158506824
149.0,58.0,144.0,66.0,146.65070022580736,61.40323780017332
240.0,218.0,235.0,225.0,238.00616355178468,222.02824346261457
140.0,52.0,134.0,60.0,137.61554451224916,55.37980065780118
144.0,35.0,138.0,43.0,141.63116927383058,38.31339542108014
88.0,238.0,84.0,246.0,85.41241501209848,242.10636727052167
134.0,153.0,130.0,161.0,131.59210736987703,156.77434108691645
150.0,195.0,145.0,202.0,147.6546064162027,198.93840108352137
111.0,120.0,106.0,127.0,108.50225739119165,123.64542920427753
92.0,154.0,87.0,162.0,89.4280397736799,157.7782472773118
112.0,170.0,106.0,178.0,109.506163581587,173.8407463236375
100.0,127.0,95.0,135.0,97.45928929684274,130.67277253704503
90.0,192.0,85.0,200.0,87.42022739288919,195.9266825123353
214.0,225.0,209.0,233.0,211.90460260150545,229.05558679538206
216.0,191.0,211.0,198.0,213.91241498229616,194.92277632193995
19.0,90.0,14.0,98.0,16.14288027522676,93.52824349241688
113.0,96.0,108.0,104.0,110.51006977198236,99.55168063478901
196.0,8.0,190.0,16.0,193.83429117438905,11.207928280405545
46.0,241.0,40.0,247.0,43.24834741590135,245.11808584170774
137.0,231.0,132.0,239.0,134.6038259410631,235.0790239377542
181.0,25.0,176.0,33.0,178.77569831845872,28.274333517126585
25.0,52.0,20.0,60.0,22.16631741759889,55.37980065780118
167.0,20.0,162.0,29.0,164.72101165292375,23.25480256514981
170.0,31.0,165.0,39.0,167.73273022410982,34.29777065949872
96.0,166.0,91.0,174.0,93.44366453526132,169.82512156205607
78.0,233.0,74.0,240.0,75.37335310814493,237.0868363185449
92.0,145.0,86.0,153.0,89.4280397736799,148.74309156375364
119.0,10.0,114.0,18.0,116.53350691435449,13.21574066119627
149.0,86.0,144.0,94.0,146.65070022580736,89.51261873083546
91.0,213.0,86.0,221.0,88.42413358328454,217.00871251063776
170.0,79.0,165.0,88.0,167.73273022410982,82.48527539806797
67.0,52.0,63.0,60.0,64.33038501379602,55.37980065780118
237.0,78.0,232.0,86.0,234.99444498059862,81.48136920767261
114.0,85.0,110.0,92.0,111.51397596237771,88.5087125404401
220.0,221.0,215.0,228.0,217.92803974387758,225.0399620338006
91.0,125.0,86.0,133.0,88.42413358328454,128.66496015625432
38.0,214.0,33.0,222.0,35.21709789273851,218.01261870103315
222.0,61.0,217.0,68.0,219.9358521246683,64.41495637135937
17.0,164.0,12.0,172.0,14.135067894436048,167.81730918126536
247.0,91.0,242.0,99.0,245.03350688455217,94.53214968281223
83.0,38.0,78.0,46.0,80.3928840601217,41.3251139922662
67.0,70.0,62.0,78.0,64.33038501379602,73.45011968450977
31.0,37.0,26.0,45.0,28.18975455997102,40.32120780187085
35.0,16.0,30.0,23.0,32.20537932155244,19.23917780356839
120.0,201.0,115.0,209.0,117.53741310474985,204.96183822589353
220.0,89.0,216.0,98.0,217.92803974387758,92.52433730202152
123.0,212.0,118.0,220.0,120.54913167593591,216.00480632024244
239.0,192.0,234.0,199.0,237.00225736138933,195.9266825123353
220.0,13.0,216.0,21.0,217.92803974387758,16.227459232382323
196.0,217.0,191.0,225.0,193.83429117438905,221.0243372722192
208.0,13.0,203.0,20.0,205.8811654591333,16.227459232382323
232.0,227.0,227.0,235.0,229.97491402862184,231.06339917617277
15.0,144.0,9.0,152.0,12.127255513645338,147.73918537335828
214.0,25.0,209.0,33.0,211.90460260150545,28.274333517126585
204.0,196.0,199.0,203.0,201.8655406975519,199.94230727391675
53.0,46.0,48.0,53.0,50.275690748668836,49.356363515429045
77.0,158.0,73.0,166.0,74.36944691774957,161.79387203889323
50.0,28.0,45.0,36.0,47.263972177482785,31.28605208831265
100.0,68.0,95.0,76.0,97.45928929684274,71.44230730371906
112.0,149.0,109.0,157.0,109.506163581587,152.75871632533503
159.0,71.0,154.0,79.0,156.6897621297609,74.45402587490513
207.0,149.0,202.0,156.0,204.87725926873796,152.75871632533503
83.0,24.0,76.0,33.0,80.3928840601217,27.27042732673123
99.0,104.0,95.0,111.0,96.45538310644739,107.58293015795185
37.0,79.0,32.0,86.0,34.21319170234315,82.48527539806797
190.0,37.0,185.0,44.0,187.81085403201692,40.32120780187085
90.0,100.0,85.0,108.0,87.42022739288919,103.56730539637043
145.0,128.0,140.0,136.0,142.63507546422593,131.67668632703257
54.0,140.0,48.0,150.0,51.27959693906419,143.72356061177683
139.0,131.0,134.0,140.0,136.6116383218538,134.68840489821864
72.0,198.0,66.0,205.0,69.3499159657728,201.95011965470746
199.0,69.0,194.0,77.0,196.84600974557512,72.44621349411442
139.0,168.0,134.0,176.0,136.6116383218538,171.83293394284678
194.0,21.0,190.0,29.0,191.82647879359834,24.258708755545165
30.0,166.0,25.0,174.0,27.185848369575666,169.82512156205607
175.0,72.0,170.0,80.0,172.7522611760866,75.45793206530048
108.0,108.0,104.0,115.0,105.49053882000558,111.59855491953327
187.0,79.0,182.0,87.0,184.79913546083085,82.48527539806797
164.0,87.0,159.0,95.0,161.70929308173768,90.51652492123081
63.0,34.0,58.0,42.0,60.31475265262238,37.3094892306848
188.0,236.0,183.0,244.0,185.8030416512262,240.09855488973096
122.0,90.0,117.0,98.0,119.54522548554056,93.52824349241688
204.0,131.0,200.0,138.0,201.8655406975519,134.68840489821864
57.0,36.0,52.0,44.0,54.29131551025026,39.31730161147549
57.0,63.0,53.0,71.0,54.29131551025026,66.42276875215008
211.0,192.0,206.0,200.0,208.89288403031938,195.9266825123353
29.0,183.0,23.0,191.0,26.18194217918031,186.8915267987771
204.0,138.0,198.0,144.0,201.8655406975519,141.71574823098612
108.0,203.0,103.0,210.0,105.49053882000558,206.96965060668424
190.0,46.0,185.0,53.0,187.81085403201692,49.356363515429045
132.0,113.0,127.0,120.0,129.58429498908632,116.61808587151005
19.0,203.0,14.0,211.0,16.14288027522676,206.96965060668424
17.0,8.0,11.0,15.0,14.135067894436048,11.207928280405545
43.0,204.0,38.0,213.0,40.236628844715284,207.9735567970796
120.0,37.0,111.0,47.0,117.53741310474985,40.32120780187085
96.0,112.0,90.0,121.0,93.44366453526132,115.61417968111469
224.0,40.0,219.0,48.0,221.943664505459,43.332926373056914
33.0,221.0,29.0,229.0,30.19756694076173,225.0399620338006
205.0,126.0,201.0,132.0,202.86944688794725,129.66886634664968
73.0,62.0,68.0,70.0,70.35382215616815,65.41886256175472
118.0,133.0,113.0,141.0,115.52960072395913,136.69621727900935
72.0,133.0,67.0,141.0,69.3499159657728,136.69621727900935
142.0,84.0,136.0,91.0,139.62335689303987,87.50480635004475
32.0,27.0,28.0,32.0,29.193660750366377,30.282145897917296
202.0,144.0,195.0,152.0,199.85772831676118,147.73918537335828
111.0,16.0,106.0,24.0,108.50225739119165,19.23917780356839
107.0,46.0,102.0,54.0,104.48663262961023,49.356363515429045
